fid,Schad_X207,Schad_X208,Schad_X265,Schad_X209,C29_1394_2,Schad_2469,Typ_X210,X_210,X_207,X_208,X_209,VII_2469,X_265,C29_1394,str_inter,Ottawa
4787,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{total zerstört},,,
4788,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
4789,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{unbeschädigt},,,
4790,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{unbeschädigt},,,
4791,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{unbeschädigt},,,
4792,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
4793,nicht kartiert,schwerer Schaden alt,Unbeschädigt,schwerer Schaden neu,nicht kartiert,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{Schwerer Schaden alt},{Schwerer Schaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
4794,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,schwer beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{schwer beschädigt},{total zerstört},,,
4795,nicht kartiert,nicht kartiert,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4796,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
4797,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
4798,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{total zerstört},,,
4799,Totalschaden alt,Totalschaden alt,Unbeschädigt,Totalschaden alt,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},{total beschädigt},{unbeschädigt},,,
4800,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden alt,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden alt},,{total zerstört},,,
4801,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{unbeschädigt},,,
4802,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{unbeschädigt},,,
4803,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{unbeschädigt},,,
4804,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{unbeschädigt},,,
4805,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{unbeschädigt},,,
4806,Totalschaden neu,Totalschaden alt,Unbeschädigt,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{unbeschädigt},,,
4807,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{unbeschädigt},,,
4808,schwerer Schaden alt,schwerer Schaden alt,Unbeschädigt,schwerer Schaden alt,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{leicht und mittel beschädigt},{unbeschädigt},,,
4809,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{unbeschädigt},,,
4810,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{unbeschädigt},,,
4811,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,"ausgebrannt, Außenmauerteile leicht beschädigt",grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt}",{unbeschädigt},,,
4812,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{unbeschädigt},,,
4813,schwerer Schaden alt,nicht kartiert,Nicht Kartiert,schwerer Schaden alt,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden alt},{nicht kartiert},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{nicht kategorisiert},,,
4814,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{unbeschädigt},,,
4815,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{unbeschädigt},,,
4816,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{unbeschädigt},,,
4817,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{unbeschädigt},,,
4818,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{unbeschädigt},,,
4819,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{unbeschädigt},,,
4820,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{unbeschädigt},,,
4821,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,schraffiert,"ausgebrannt, Außenmauerteile leicht beschädigt",grau,{grau},"{Schwerer Schaden neu, Totalschaden neu}","{Totalschaden alt, Schwerer Schaden alt}","{Schwerer Schaden neu, Totalschaden neu}","{total beschädigt, schwer beschädigt, leicht und mittel beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,1,
4822,schwerer Schaden neu,schwerer Schaden alt,Total zerstört,schwerer Schaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},"{augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
4823,schwerer Schaden neu,schwerer Schaden alt,Total zerstört,schwerer Schaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},"{Schwerer Schaden neu, nicht kartiert}","{total beschädigt, ausgebrannt, Außenmauerteile leicht beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
4824,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,schwer beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{schwer beschädigt},{total zerstört},,,
4825,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4826,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4827,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4828,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4829,nicht kartiert,Totalschaden alt,Total zerstört,nicht kartiert,nicht kartiert,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{nicht kartiert},{total beschädigt},{total zerstört},,,
4830,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4831,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,nicht kartiert,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
4832,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4833,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4834,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,nicht kartiert,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
4835,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,nicht kartiert,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},,{total zerstört},,,
4836,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4837,Totalschaden neu,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
4838,nicht kartiert,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
4839,Totalschaden neu,Totalschaden alt,Nicht Kartiert,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{nicht kategorisiert},,,
4840,Totalschaden neu,Totalschaden alt,Nicht Kartiert,Totalschaden neu,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{nicht kategorisiert},,,
4841,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,geräumte Fläche,nicht kartiert,historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{total zerstört},,,
4842,Totalschaden neu,Totalschaden alt,Nicht Kartiert,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{nicht kategorisiert},,,
4843,Totalschaden neu,Totalschaden alt,Über 60% zerstört,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,historisch wertvollste Gebäude,{Historisch wertvollste Gebäude},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{über 60% zerstört},,1,
4844,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{wieder aufgebaut},,1,
4845,Totalschaden neu,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{wieder aufgebaut},,,
4846,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,,
4847,schwerer Schaden neu,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden neu},{Schwerer Schaden alt},{Schwerer Schaden neu},{leicht und mittel beschädigt},{wieder aufgebaut},,,
4848,Totalschaden neu,schwerer Schaden alt,Mehr als 10% zerstört,nicht kartiert,geräumte Fläche,nicht kartiert,grau,{grau},{Totalschaden neu},{Schwerer Schaden alt},{nicht kartiert},,{mehr als 10% zerstört},,,
4849,schwerer Schaden alt,schwerer Schaden alt,Über 60% zerstört,schwerer Schaden alt,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{über 60% zerstört},,,
4850,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,total beschädigt,grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4851,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4852,Totalschaden neu,nicht kartiert,Nicht Kartiert,nicht kartiert,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{nicht kategorisiert},,,
4853,Totalschaden neu,nicht kartiert,Über 60% zerstört,nicht kartiert,nicht kartiert,schwer beschädigt,grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{über 60% zerstört},,,
4854,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,nicht kartiert,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4855,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{total zerstört},,1,
4856,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,total beschädigt,grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,
4857,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,nicht kartiert,total beschädigt,grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,
4858,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4859,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4860,schwerer Schaden alt,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden alt,geräumte Fläche,"schwer beschädigt, aber Außenmauerteile noch gut erhalten",grau,{grau},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{schwer beschädigt, aber Außenmauerteile noch gut erhalten}",{wieder aufgebaut},,,
4861,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,schwer beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{schwer beschädigt},{total zerstört},,,
4862,Totalschaden neu,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},,{total zerstört},,,
4863,Totalschaden neu,nicht kartiert,Total zerstört,nicht kartiert,nicht kartiert,nicht kartiert,grau,{grau},{Totalschaden neu},{nicht kartiert},{nicht kartiert},,{total zerstört},,,
4864,Totalschaden alt,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{Totalschaden alt},{Totalschaden alt},{Totalschaden neu},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4865,schwerer Schaden neu,Totalschaden alt,Mehr als 10% zerstört,Totalschaden neu,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{Schwerer Schaden neu},{Totalschaden alt},{Totalschaden neu},{leicht und mittel beschädigt},{mehr als 10% zerstört},,,
4866,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{unbeschädigt},,,
4867,schwerer Schaden alt,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{wieder aufgebaut},,,
4868,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{total beschädigt, schwer beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
4869,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{wieder aufgebaut},,,
4870,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,schwer beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{wieder aufgebaut},,,
4871,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
4872,schwerer Schaden alt,schwerer Schaden alt,Wieder aufgebaut,schwerer Schaden alt,geräumte Fläche,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{wieder aufgebaut},,,
4873,nicht kartiert,nicht kartiert,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},"{Totalschaden neu, nicht kartiert}","{total beschädigt, augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
4874,schwerer Schaden alt,schwerer Schaden alt,Total zerstört,schwerer Schaden alt,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Schwerer Schaden alt},{Schwerer Schaden alt},{Schwerer Schaden alt},{total beschädigt},{total zerstört},,,
4875,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,geräumte Fläche,"Mauerteile, die einzustürzen drohen",historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{total zerstört},,,
4876,nicht kartiert,Totalschaden neu,Provisorium,nicht kartiert,geräumte Fläche,"Mauerteile, die einzustürzen drohen",grau,{grau},{nicht kartiert},{Totalschaden neu},{nicht kartiert},"{total beschädigt, Mauerteile, die einzustürzen drohen}",{Provisorium},,,
4877,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
4878,Totalschaden neu,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{Totalschaden neu},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4879,nicht kartiert,Totalschaden alt,Total zerstört,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{total zerstört},,,
4880,nicht kartiert,Totalschaden alt,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,total beschädigt,grau,{grau},{nicht kartiert},{Totalschaden alt},{Totalschaden neu},{total beschädigt},{wieder aufgebaut},,,
4881,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,"augebrannt, Außenmauerteile schwer beschädigt",grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},"{augebrannt, Außenmauerteile schwer beschädigt}",{wieder aufgebaut},,,
4882,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{wieder aufgebaut},,,
4883,nicht kartiert,nicht kartiert,Total zerstört,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{total zerstört},,,
4884,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,historisch wertvolles Gebäude,{Historisch wertvolle Gebäude},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
4885,Totalschaden neu,schwerer Schaden alt,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,historisches Gebäude,{Historische Gebäude},{Totalschaden neu},{Schwerer Schaden alt},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
4886,nicht kartiert,nicht kartiert,Wieder aufgebaut,Totalschaden neu,geräumte Fläche,nicht kartiert,grau,{grau},{nicht kartiert},{nicht kartiert},{Totalschaden neu},,{wieder aufgebaut},,,
4887,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
4888,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,total beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{total beschädigt},{wieder aufgebaut},,,
4889,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,leicht oder mittel beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{leicht und mittel beschädigt},{unbeschädigt},,,
4890,nicht kartiert,nicht kartiert,Unbeschädigt,nicht kartiert,geräumte Fläche,nicht kartiert,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{unbeschädigt},,,
4891,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{wieder aufgebaut},,,
4892,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{wieder aufgebaut},,,
4893,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,nicht kartiert,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},,{wieder aufgebaut},,,
4894,nicht kartiert,nicht kartiert,Wieder aufgebaut,nicht kartiert,geräumte Fläche,schwer beschädigt,grau,{grau},{nicht kartiert},{nicht kartiert},{nicht kartiert},{schwer beschädigt},{wieder aufgebaut},,,
